t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,80.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,5.8877544414734925e-08,83.51307793297232,5.34379469284992
0,90.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,6.27776793525631e-08,73.94647036760556,0.4455156554323947
0,100.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,7.123371610032462e-08,59.256728481947384,-4.430497606769162
0,110.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.931581572987082e-08,41.67456857731395,-9.517649733101921
0,119.99999999999999,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.727420199011999e-08,33.605269784611046,-15.083894228556174
0,130.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.640345511418602e-08,26.040652100332004,-21.478364145789516
0,140.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.625533268744483e-08,19.459766555744107,-29.194534440074744
0,150.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.648544005463722e-08,14.149841525336347,-38.94484658206007
0,160.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.683657356700058e-08,10.258792878512482,-51.67066503354177
0,170.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.712867387034007e-08,7.850158589632152,-68.18061028477644
0,180.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.725302294033231e-08,6.945237051374332,-87.9409290782506
0,190.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.716922852436834e-08,7.548595613938822,71.93230375955493
0,200.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.690419667403142e-08,9.65739434353684,54.65685054050976
0,210.00000000000003,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.655281058558011e-08,13.255188210653186,41.21951177530404
0,220.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.628050253957291e-08,18.2897370298507,30.954518089821725
0,230.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.632840673950923e-08,24.634107650165095,22.89667105095157
0,239.99999999999997,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.702240179723548e-08,32.03356725355297,16.283283972271793
0,250.00000000000003,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.878820050859446e-08,40.050543991584924,10.582910636122913
0,260.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,7.08053817728216e-08,57.32501908670766,5.423217991212431
0,270.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,6.220830280524851e-08,72.24786340374206,0.5241784475771901
0,280.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,5.801909933924514e-08,82.65417662381786,-4.351327498209402
0,290.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,5.722720209605076e-08,85.79452186302818,-9.43671639924821
0,300.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,5.9424879890322984e-08,80.82550697840418,-15.000019351122202
0,310.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,6.30306324037643e-08,69.49899429966194,-21.390668537144833
0,320.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,7.208248020810116e-08,57.51467691564496,-29.10308617207257
0,330.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,7.654560923543831e-08,45.25230563048138,-38.85234641008394
0,340.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.170348517388813e-08,35.008133510069996,-51.586088164936676
0,350.0,29.999999999999996,5.0,0.1,0.0,30.0,391.4,1.0,8.922331980471552e-08,29.03456015571243,-68.12352055145094
0,0.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.766515098019491e-08,41.48815885618147,-88.4096895356085
0,10.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.677895382740033e-08,43.07444955567545,75.86012850415676
0,20.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.404074646911128e-08,47.9525448064559,61.29033004731955
0,29.999999999999996,40.0,5.0,0.1,0.0,30.0,391.4,1.0,7.208811589845842e-08,55.63510298201331,48.59470360464606
0,40.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,6.580567419866828e-08,64.80755897962653,37.817785128582265
0,50.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.966782847383275e-08,74.50445409747076,28.645649962727003
0,59.99999999999999,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.76935086175276e-08,83.39099222678821,20.677624957742776
0,70.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.508422854730157e-08,86.8968003456275,13.545572984984032
0,80.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,5.6270402066989575e-08,84.19122896464131,6.93912237269644
0,90.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,6.02762054295221e-08,75.14543032104572,0.5944124351359781
0,100.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,6.680106249397718e-08,62.2512884886603,-5.727161325066137
0,110.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.536702543229073e-08,44.54509146834621,-12.261826801188777
0,119.99999999999999,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.352161222399461e-08,37.28341272707815,-19.266324680185306
0,130.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.264653461408109e-08,30.427534523315114,-27.03969410091796
0,140.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.239115396529107e-08,24.41157176253136,-35.93760312494976
0,150.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.247788520067805e-08,19.51682787166717,-46.35761668690166
0,160.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.269513775369268e-08,15.904912107669832,-58.644651347904464
0,170.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.289277270422143e-08,13.657859142786306,-72.8514104835744
0,180.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.297938815449266e-08,12.811363905326909,-88.4127679575824
0,190.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.292088805655549e-08,13.37590636323741,75.88674155730153
0,200.0,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.273999256184985e-08,15.344675542135306,61.33978903040857
0,210.00000000000003,40.0,5.0,0.1,0.0,30.0,391.4,1.0,8.251656160729646e-08,18.688289573375716,48.65768441962956
